 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

42,-135,45,3.73,1498.2,-233.83,-71.356,0.26936,-0.02115
43,-135,45,5.2802,1568.2,-210.75,-69.78,0.19859,-0.01153
44,-135,45,7.4747,1632.5,-205.45,-64.259,0.21328,-0.0091063
45,-135,45,10.581,1689.9,-221.82,-54.902,0.37031,-0.011561
46,-135,45,14.979,1744.1,-253.94,-42.977,0.53389,-0.012153
47,-135,45,21.204,1798.7,-293.75,-28.886,0.36689,-0.006084
48,-135,45,30.017,1870.6,-323.54,-15.645,-0.10511,0.0012805
49,-135,45,42.492,2003.4,-338.52,-9.5725,-0.22509,0.0020746
50,-135,45,60.152,2194.1,-343.38,-10.406,-0.40003,0.0028525
51,-135,45,85.152,2418.9,-345.39,-10.076,-0.64746,0.0035954
52,-135,45,120.54,2669.1,-349.4,-9.1634,-0.91677,0.0039684
53,-135,45,170.64,2945.7,-349.77,-9.4246,-1.0871,0.0036684
 
1,-90,0,2.4156e-06,1959.4,2311.5,-70.506,6.3147e-06,-1.0013
2,-90,0,3.4196e-06,2009.9,617.33,-38.524,7.4517e-06,-0.8562
3,-90,0,4.8408e-06,1984,1083.5,-35.673,2.487e-05,-1.9926
4,-90,0,6.8526e-06,2074.1,-669.47,-101.52,2.0276e-05,-1.1997
5,-90,0,9.7006e-06,2036.2,-308.17,-9.0551,4.7212e-05,-1.9373
6,-90,0,1.3732e-05,2123.3,-1925,-114.51,5.5826e-05,-1.6874
7,-90,0,1.944e-05,2095.7,-1689.2,-33.233,0.00010413,-2.1946
8,-90,0,2.7519e-05,2160.4,-2764.6,-103.7,0.00011395,-1.7488
9,-90,0,3.8956e-05,2147.9,-2626.8,-88.314,0.00020524,-2.2122
10,-90,0,5.5146e-05,2197.9,-3346.3,-75.15,0.00020355,-1.5859
11,-90,0,7.8066e-05,2186,-2912.7,-54.091,0.00036878,-2.0187
12,-90,0,0.00011051,2236.3,-3391.3,-63.568,0.00042374,-1.6763
13,-90,0,0.00015644,2194.6,-2225.3,-16.748,0.00098337,-2.6967
14,-90,0,0.00022146,2240.7,-2541.2,2.9475,0.0014789,-2.9253
15,-90,0,0.0003135,2186.5,-1192.8,48.369,0.0033178,-4.5236
16,-90,0,0.00044379,2218.2,-1509.5,15.46,0.0052862,-5.1652
17,-90,0,0.00062823,2118.8,34.748,86.611,0.010644,-7.0181
18,-90,0,0.00088933,1937.6,750.88,47.121,0.019518,-8.3126
19,-90,0,0.0012589,1644.8,2709.4,66.083,0.037871,-9.6723
20,-90,0,0.0017822,1420.3,4169.9,99.431,0.068187,-10.623
21,-90,0,0.0025229,1267.5,6054.8,138.58,0.1099,-10.795
22,-90,0,0.0035714,1186.3,7407.6,130.65,0.16231,-10.539
23,-90,0,0.0050557,1142.7,8444.1,125.3,0.22291,-9.8488
24,-90,0,0.0071569,1117.7,9039.4,96.082,0.28854,-8.809
25,-90,0,0.010131,1095.4,9389.5,77.355,0.35801,-7.5672
26,-90,0,0.014342,1071.8,9702.3,45.933,0.42683,-6.2353
27,-90,0,0.020303,1052.6,9944.6,18.478,0.49547,-5.0219
28,-90,0,0.028741,1046.4,10115,-4.38,0.56822,-4.0441
29,-90,0,0.040686,1055.7,10198,-20.882,0.65184,-3.3063
30,-90,0,0.057595,1079.7,10190,-25.922,0.75635,-2.7717
31,-90,0,0.081532,1114.5,10121,-31.411,0.89103,-2.381
32,-90,0,0.11542,1156.7,10006,-33.182,1.0607,-2.0781
33,-90,0,0.16339,1208.2,9855.5,-37.484,1.2765,-1.8453
34,-90,0,0.23129,1271.1,9682.7,-38.468,1.5642,-1.6805
35,-90,0,0.32742,1345.2,9486.7,-39.153,1.9628,-1.5764
36,-90,0,0.4635,1429.7,9246.5,-36.662,2.4928,-1.5031
37,-90,0,0.65613,1522,8958.7,-34.167,3.141,-1.4243
38,-90,0,0.92882,1621.7,8633.7,-31.271,3.8651,-1.3192
39,-90,0,1.3148,1737.9,8275.3,-28.881,4.5855,-1.1849
40,-90,0,1.8613,1875.9,7905.3,-25.452,5.3227,-1.0487
41,-90,0,2.6349,2048.1,7534,-23.055,6.1715,-0.93778
42,-90,0,3.73,2233.5,7169.7,-27,6.1919,-0.7248
43,-90,0,5.2802,2401.4,6810,-31.386,3.3245,-0.29557
44,-90,0,7.4747,2519.1,6364,-32.269,-2.7682,0.18238
45,-90,0,10.581,2588.6,5647,-23.35,-9.7286,0.46526
46,-90,0,14.979,2645.6,4745.7,-9.3001,-13.624,0.47042
47,-90,0,21.204,2714.2,3938.8,-0.18867,-12.967,0.32448
48,-90,0,30.017,2769,3200.2,6.1972,-8.8209,0.15907
49,-90,0,42.492,2806.1,2498.5,6.5291,11.843,-0.15289
50,-90,0,60.152,2821.4,1671.6,14.946,3.9524,-0.03624
51,-90,0,85.152,2761,656.12,3.8481,-3.4164,0.021655
52,-90,0,120.54,2756.5,-307.62,-12.089,-7.5936,0.033945
53,-90,0,170.64,2962.7,-606,7.1383,-0.22113,0.00075053
 
1,-90,45,2.4156e-06,2311.8,-9726.4,5510.5,-6.9499e-05,13.002
2,-90,45,3.4196e-06,2326.2,-9682.7,5559.6,-0.00016215,21.564
3,-90,45,4.8408e-06,2328.8,-9404.9,5567,-0.00029051,27.322
4,-90,45,6.8526e-06,2340.2,-9266.4,5557.1,-0.00046634,31.133
5,-90,45,9.7006e-06,2351.3,-9087.5,5537.1,-0.00070739,33.519
6,-90,45,1.3732e-05,2363.6,-8951.8,5503.6,-0.0010353,34.835
7,-90,45,1.944e-05,2377.7,-8799.1,5462.7,-0.001482,35.435
8,-90,45,2.7519e-05,2396.8,-8674,5411.4,-0.0020866,35.528
9,-90,45,3.8956e-05,2413.3,-8541.5,5352.1,-0.0029005,35.126
10,-90,45,5.5146e-05,2433.1,-8426.3,5284.7,-0.0039893,34.408
11,-90,45,7.8066e-05,2454.9,-8308.6,5206.1,-0.0054388,33.434
12,-90,45,0.00011051,2471.4,-8203.5,5118.7,-0.0073479,32.123
13,-90,45,0.00015644,2488.3,-8092.7,5017.1,-0.009844,30.61
14,-90,45,0.00022146,2511.1,-7982.7,4907.5,-0.013064,28.959
15,-90,45,0.0003135,2529.6,-7866.4,4789.5,-0.017181,27.102
16,-90,45,0.00044379,2539.8,-7741.5,4670.6,-0.022354,25.01
17,-90,45,0.00062823,2543.2,-7606.5,4552.1,-0.028757,22.758
18,-90,45,0.00088933,2538.3,-7448.8,4434.9,-0.036402,20.31
19,-90,45,0.0012589,2463.6,-7246,4311.7,-0.045148,17.271
20,-90,45,0.0017822,2176.2,-6969.5,4173.2,-0.054962,13.12
21,-90,45,0.0025229,1959.1,-6602.6,4004.7,-0.066146,10.041
22,-90,45,0.0035714,1863.5,-6160.1,3797,-0.079128,8.0715
23,-90,45,0.0050557,1785.9,-5668.9,3538.7,-0.095217,6.5752
24,-90,45,0.0071569,1734.6,-5196.2,3230,-0.11731,5.5581
25,-90,45,0.010131,1691.3,-4782.6,2868.4,-0.14933,4.8734
26,-90,45,0.014342,1652.6,-4453.4,2474.1,-0.1968,4.4328
27,-90,45,0.020303,1621.7,-4190.2,2078.5,-0.26369,4.1174
28,-90,45,0.028741,1594.2,-3981.4,1726.4,-0.35502,3.8495
29,-90,45,0.040686,1565.2,-3792,1480.4,-0.46302,3.4821
30,-90,45,0.057595,1538.9,-3578.8,1307.8,-0.59557,3.111
31,-90,45,0.081532,1516.3,-3293.9,1160,-0.75315,2.7381
32,-90,45,0.11542,1494.8,-2930.9,1019.7,-0.93329,2.3629
33,-90,45,0.16339,1473.3,-2547.8,865.88,-1.1297,1.9915
34,-90,45,0.23129,1449.9,-2157.7,707.26,-1.3064,1.601
35,-90,45,0.32742,1425.4,-1764.5,547.43,-1.4224,1.2106
36,-90,45,0.4635,1403.7,-1388.8,392.24,-1.4455,0.8558
37,-90,45,0.65613,1391.1,-1055.3,248.97,-1.3849,0.57398
38,-90,45,0.92882,1393,-779.24,131.21,-1.2511,0.36681
39,-90,45,1.3148,1409.6,-560.8,41.443,-1.0942,0.22932
40,-90,45,1.8613,1436.5,-399.35,-22.5,-0.97263,0.14674
41,-90,45,2.6349,1468.9,-283.55,-58.679,-0.83237,0.090713
42,-90,45,3.73,1504,-210.84,-76.77,-0.54321,0.042818
43,-90,45,5.2802,1540,-188.48,-81.336,-0.39271,0.022391
44,-90,45,7.4747,1577.7,-200.54,-73.594,-0.38958,0.016075
45,-90,45,10.581,1619.8,-234.76,-61.192,-0.057008,0.001706
46,-90,45,14.979,1670.9,-276.15,-48.751,0.12973,-0.0028292
47,-90,45,21.204,1737.7,-312.62,-35.084,-0.10855,0.0017391
48,-90,45,30.017,1838.6,-335.02,-23.057,-0.88302,0.010574
49,-90,45,42.492,1994.2,-344.99,-16.013,-1.273,0.011679
50,-90,45,60.152,2191.8,-349.33,-15.313,-1.8583,0.013237
51,-90,45,85.152,2418.8,-350.69,-12.266,-1.9073,0.010591
52,-90,45,120.54,2669.6,-350.37,-9.961,-1.3192,0.0057112
53,-90,45,170.64,2946.4,-351.98,-10.164,-1.5318,0.0051705
 
1,-45,0,2.4156e-06,2807.3,554.2,72.089,-1.526e-05,3.4669
2,-45,0,3.4196e-06,2834.9,-408.84,68.221,-3.6925e-05,5.9842
3,-45,0,4.8408e-06,2855.3,-623.12,82.775,-7.4372e-05,8.5758
4,-45,0,6.8526e-06,2881.6,-1043.1,74.221,-0.00013502,11.099
5,-45,0,9.7006e-06,2910.1,-943.06,73.932,-0.00022868,13.411
6,-45,0,1.3732e-05,2937.4,-1037.2,66.423,-0.00037141,15.531
7,-45,0,1.944e-05,2973.2,-805.97,61.831,-0.00057873,17.303
8,-45,0,2.7519e-05,3009.3,-681.36,56.34,-0.00088385,18.894
